,model,score_test,accuracy,f1_macro,f1_micro,roc_auc_ovo_macro,precision_macro,precision_micro,recall_macro,recall_micro,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
10,NeuralNetTorch_BAG_L2,0.7564402810304449,0.7564402810304449,0.75101405939415,0.7564402810304449,0.901851218956482,0.7515858944050433,0.7564402810304449,0.752323991797676,0.7564402810304449,0.768464243845252,3.774635076522827,5.152656555175781,1049.5534627437592,0.24837446212768555,0.5136985778808594,35.59078526496887,2,True,24
11,RandomForestEntr_BAG_L2,0.7494145199063232,0.7494145199063232,0.7442943551811156,0.7494145199063232,0.9047315935943757,0.7441697506776433,0.7494145199063232,0.745021645021645,0.7494145199063232,0.7549824150058617,3.6725666522979736,4.96012806892395,1015.7494230270386,0.14630603790283203,0.3211700916290283,1.786745548248291,2,True,19
12,ExtraTreesEntr_BAG_L1,0.7423887587822015,0.7423887587822015,0.735864079192415,0.7423887587822015,0.8947140578719527,0.7381807734748911,0.7423887587822015,0.7377876509455458,0.7423887587822015,0.7174677608440797,0.17509841918945312,0.23636937141418457,1.2085371017456055,0.17509841918945312,0.23636937141418457,1.2085371017456055,1,True,10
13,NeuralNetFastAI_BAG_L1,0.7377049180327869,0.7377049180327869,0.7345367741411044,0.7377049180327869,0.8787707906128959,0.7348791700490126,0.7377049180327869,0.7350991114149009,0.7377049180327869,0.7368112543962485,0.5871682167053223,1.177351474761963,30.247520923614502,0.5871682167053223,1.177351474761963,30.247520923614502,1,True,3
14,CatBoost_BAG_L1,0.7306791569086651,0.7306791569086651,0.7248260777080309,0.7306791569086651,0.8805373824170818,0.7269288630990758,0.7306791569086651,0.7261562998405103,0.7306791569086651,0.742672919109027,0.06881523132324219,0.0668325424194336,515.050877571106,0.06881523132324219,0.0668325424194336,515.050877571106,1,True,8
15,LightGBMXT_BAG_L1,0.7306791569086651,0.7306791569086651,0.7243236075617993,0.7306791569086651,0.8888556618819777,0.7259674699719317,0.7306791569086651,0.7260651629072682,0.7306791569086651,0.7502930832356389,0.42386794090270996,0.5035243034362793,54.15475535392761,0.42386794090270996,0.5035243034362793,54.15475535392761,1,True,4
16,WeightedEnsemble_L2,0.7306791569086651,0.7306791569086651,0.7243236075617993,0.7306791569086651,0.8888556618819777,0.7259674699719317,0.7306791569086651,0.7260651629072682,0.7306791569086651,0.7502930832356389,0.42586374282836914,0.5035243034362793,54.664854764938354,0.0019958019256591797,0.0,0.5100994110107422,2,True,14
17,LightGBM_BAG_L1,0.7259953161592506,0.7259953161592506,0.72028287170243,0.7259953161592506,0.8864307684796406,0.7214554295892115,0.7259953161592506,0.7214855320118477,0.7259953161592506,0.7356389214536928,0.41489219665527344,0.3353095054626465,70.67076587677002,0.41489219665527344,0.3353095054626465,70.67076587677002,1,True,5
18,ExtraTreesGini_BAG_L1,0.7236533957845434,0.7236533957845434,0.7157894736842106,0.7236533957845435,0.8868223724896658,0.7193317273584832,0.7236533957845434,0.7182387787650946,0.7236533957845434,0.7139507620164126,0.18673014640808105,0.2792534828186035,1.304513692855835,0.18673014640808105,0.2792534828186035,1.304513692855835,1,True,9
19,NeuralNetTorch_BAG_L1,0.7189695550351288,0.7189695550351288,0.7136640299065943,0.7189695550351288,0.872627591706539,0.7142069002400661,0.7189695550351288,0.714650262018683,0.7189695550351288,0.738569753810082,0.23142075538635254,0.5016725063323975,57.06073355674744,0.23142075538635254,0.5016725063323975,57.06073355674744,1,True,12
20,KNeighborsDist_BAG_L1,0.7166276346604216,0.7166276346604216,0.7089480195282829,0.7166276346604215,0.8597394460176414,0.7157457250345329,0.7166276346604216,0.7131806789701526,0.7166276346604216,0.6946072684642438,0.1318798065185547,0.174088716506958,0.018976688385009766,0.1318798065185547,0.174088716506958,0.018976688385009766,1,True,2
21,RandomForestEntr_BAG_L1,0.7166276346604216,0.7166276346604216,0.7084443336787721,0.7166276346604215,0.8819670930573187,0.7110370242496608,0.7166276346604216,0.7113123718386877,0.7166276346604216,0.7092614302461899,0.14596843719482422,0.26505398750305176,2.201688051223755,0.14596843719482422,0.26505398750305176,2.201688051223755,1,True,7
22,XGBoost_BAG_L1,0.7142857142857143,0.7142857142857143,0.7082236958740858,0.7142857142857143,0.8808539205155747,0.7085252432974256,0.7142857142857143,0.709671907040328,0.7142857142857143,0.7403282532239156,0.34807348251342773,0.2702603340148926,120.04065489768982,0.34807348251342773,0.2702603340148926,120.04065489768982,1,True,11
23,RandomForestGini_BAG_L1,0.7072599531615925,0.7072599531615925,0.6993243700783612,0.7072599531615926,0.8799498746867168,0.701211942591253,0.7072599531615925,0.7022214627477785,0.7072599531615925,0.7022274325908558,0.1572248935699463,0.29683899879455566,1.4720489978790283,0.1572248935699463,0.29683899879455566,1.4720489978790283,1,True,6
24,LightGBMLarge_BAG_L1,0.7049180327868853,0.7049180327868853,0.6978473955232934,0.7049180327868853,0.8772291931126518,0.6980690544995006,0.7049180327868853,0.6993050808840282,0.7049180327868853,0.7403282532239156,0.5305426120758057,0.35005998611450195,160.5126314163208,0.5305426120758057,0.35005998611450195,160.5126314163208,1,True,13
25,KNeighborsUnif_BAG_L1,0.6463700234192038,0.6463700234192038,0.6431366319742886,0.6463700234192038,0.8206038635549914,0.6460795080166922,0.6463700234192038,0.6447368421052632,0.6463700234192038,0.6400937866354045,0.12457847595214844,0.1823427677154541,0.018973350524902344,0.12457847595214844,0.1823427677154541,0.018973350524902344,1,True,1
