,importance,stddev,p_value,n,p99_high,p99_low
miuH,0.0,0.006413613085540594,0.5,5,0.013205717988681366,-0.013205717988681366
BLOSUM6,0.0,0.008443913994060874,0.5,5,0.017386135621065325,-0.017386135621065325
Acidic_Mole.,0.0,0.007405802482829936,0.5,5,0.01524864967121494,-0.01524864967121494
Z2,0.0,0.003702901241414968,0.5,5,0.00762432483560747,-0.00762432483560747
VHSE7,0.0,0.0016559877779544457,0.5,5,0.0034097017229916425,-0.0034097017229916425
KF7,0.0,0.007218283375841901,0.5,5,0.014862545238137083,-0.014862545238137083
ST4,0.0,0.003702901241414968,0.5,5,0.00762432483560747,-0.00762432483560747
ProtFP4,0.0,0.0023419203747072626,0.5,5,0.004822046420301691,-0.004822046420301691
Z1,0.0,0.0023419203747072626,0.5,5,0.004822046420301691,-0.004822046420301691
Z4,-0.00046838407494145253,0.004504773784934746,0.5862176401989841,5,0.008807007410829596,-0.009743775560712502
H,-0.00046838407494145253,0.004504773784934746,0.5862176401989841,5,0.008807007410829596,-0.009743775560712502
ST7,-0.00046838407494145253,0.0030534905879169346,0.6255657749882368,5,0.0058187952493044676,-0.006755563399187373
ST2,-0.00046838407494145253,0.0034736292679605017,0.6109752255499896,5,0.006683866598447838,-0.007620634748330744
KF1,-0.0009367681498829051,0.004254309631050344,0.6758693525163464,5,0.007822914181257667,-0.009696450481023479
ProtFP2,-0.0014051522248243575,0.003142015893442331,0.8130495168499705,5,0.005064301927048103,-0.007874606376696819
F4,-0.0014051522248243575,0.003142015893442331,0.8130495168499705,5,0.005064301927048103,-0.007874606376696819
PP1,-0.0018735362997658101,0.0019593911628432705,0.9503496583931367,5,0.002160877186192346,-0.005907949785723966
VHSE6,-0.0018735362997658101,0.0025654452342162375,0.9110960958218894,5,0.003408750895706736,-0.007155823495238356
Normalized Hydrophobicity,-0.0018735362997658101,0.0030534905879169346,0.8790092347159897,5,0.004413643024480111,-0.00816071562401173
BLOSUM1,-0.0018735362997658101,0.0041893545245897746,0.8130495168499705,5,0.006752402569397473,-0.010499475168929092
BLOSUM2,-0.0023419203747072626,0.0023419203747072626,0.9554953287499572,5,0.0024801260455944284,-0.0071639667950089535
KF2,-0.0023419203747072626,0.003702901241414968,0.8849001794597506,5,0.005282404460900208,-0.009966245210314733
ProtFP5,-0.002810304449648715,0.0010473386311474436,0.9980587314765198,5,-0.0006538197323578943,-0.004966789166939536
ProtFP8,-0.005152224824355978,0.003053490587916935,0.9902228936398477,5,0.0011349544998899433,-0.011439404148601898
Linear Moment,-0.007025761124121788,0.002868254968130188,0.9972957605676187,5,-0.001119984501245121,-0.012931537746998454
